,ID_CLIENTE,DATA_CADASTRO,DDD,FLAG_PF,SEGMENTO_INDUSTRIAL,DOMINIO_EMAIL,PORTE,CEP_2_DIG
31,5753677550753111444,2014-03-02,42,,Serviços,,GRANDE,84
32,4524147234488547993,2017-03-09,61,,Comércio,HOTMAIL,GRANDE,70
33,4347826483121154490,2000-08-15,33,,Indústria,YAHOO,MEDIO,38
34,6100972975033180377,2015-11-23,41,,Comércio,YAHOO,GRANDE,83
35,4334472256949955221,2012-03-11,48,,Serviços,YAHOO,GRANDE,88
36,2619109825960703851,2003-06-03,19,,Serviços,HOTMAIL,GRANDE,13
37,2397171153213063761,2016-11-29,62,,Indústria,YAHOO,MEDIO,75
38,683445437387317282,2011-02-14,33,,Indústria,YAHOO,GRANDE,36
39,192916471960784723,2017-08-09,,,Comércio,,PEQUENO,27
40,2634859679238614382,2000-08-15,11,,Comércio,YAHOO,GRANDE,22
41,940214356651040716,2013-07-29,75,,Indústria,GMAIL,GRANDE,45
42,1192891347324061812,2000-08-15,11,,Serviços,HOTMAIL,MEDIO,37
43,8901696535927078963,2011-02-14,71,,Serviços,GMAIL,GRANDE,44
44,3022528659032597047,2011-02-14,18,,Serviços,AOL,MEDIO,16
45,7810315632865163836,2015-11-25,91,,Indústria,YAHOO,MEDIO,68
46,6964108750473070287,2000-08-15,71,,Comércio,YAHOO,MEDIO,42
47,7818340804682162328,2011-02-14,21,,,HOTMAIL,MEDIO,26
48,7671566034617837932,2011-02-14,65,,Serviços,YAHOO,GRANDE,78
49,3192341047315717823,2002-01-24,31,,Serviços,HOTMAIL,MEDIO,31
50,162896151509189921,2017-10-19,,,Serviços,HOTMAIL,MEDIO,68
51,8729164666041467296,2014-03-13,71,,Serviços,GMAIL,,41
52,2645324649046215594,2011-02-14,38,,Serviços,YAHOO,MEDIO,35
53,382095722273502031,2011-02-14,11,,Indústria,YAHOO,PEQUENO,51
54,4795152981525833467,2011-02-14,24,,Comércio,YAHOO,GRANDE,27
55,2025898153078562640,2007-06-17,(3,,Serviços,GMAIL,PEQUENO,36
56,2451708306555441014,2000-08-15,41,,Comércio,YAHOO,MEDIO,83
57,4465150716052427320,2011-02-15,31,,Comércio,HOTMAIL,GRANDE,30
58,2088532321693492263,2012-08-27,31,,Serviços,GMAIL,MEDIO,35
59,2530707686830644666,2011-02-14,19,,Serviços,HOTMAIL,GRANDE,13
60,459290606780222306,2014-08-14,43,,Comércio,YAHOO,PEQUENO,86
61,4061297388883391410,2012-03-11,47,,Serviços,YAHOO,GRANDE,89
62,8961924617442201922,2011-02-14,11,,Serviços,GMAIL,MEDIO,25
63,4661684997487171886,2015-03-02,28,,Indústria,YAHOO,GRANDE,29
64,1104269683367198574,2000-08-15,31,,Serviços,AOL,PEQUENO,35
65,5761480994209806499,2015-12-29,,,Comércio,YAHOO,,35
66,4556737702757145073,2011-02-14,11,,Serviços,GMAIL,PEQUENO,55
67,1368430815953333691,2015-09-14,41,,Indústria,YAHOO,GRANDE,83
68,8915958534285799867,2005-11-24,11,,Comércio,AOL,GRANDE,68
69,835441927760881602,2014-08-07,65,,Comércio,HOTMAIL,GRANDE,78
70,3218792504195936313,2000-08-15,(2,,Serviços,HOTMAIL,MEDIO,21
71,5477900120643078645,2012-12-13,81,,Comércio,YAHOO,PEQUENO,55
72,3095686599956852697,2015-12-08,41,,Comércio,BOL,MEDIO,83
73,8348574220426911086,2011-02-14,11,,Comércio,AOL,PEQUENO,13
74,1357573192598249600,2011-02-14,19,,Comércio,YAHOO,MEDIO,13
75,5522764880180045081,2011-02-14,28,,Indústria,BOL,MEDIO,29
76,4043546053926060305,2007-02-05,14,,Indústria,GMAIL,MEDIO,17
77,8512214463586144353,2011-02-14,35,,Serviços,OUTLOOK,PEQUENO,37
78,837142477962609471,2011-12-22,41,,Serviços,GMAIL,MEDIO,83
79,410843023337872279,2011-02-14,13,,Comércio,HOTMAIL,MEDIO,11
80,8646472172649019955,2000-08-15,99,,Serviços,HOTMAIL,MEDIO,65
81,351031887141663937,2015-02-27,,,Indústria,GMAIL,GRANDE,78
82,4414438591613884911,2011-02-14,31,,Comércio,YAHOO,GRANDE,35
83,692350198401528327,2016-10-30,86,,Comércio,HOTMAIL,GRANDE,65
84,4569866309119931805,2008-06-03,21,,Serviços,YAHOO,GRANDE,23
85,5999145415800242177,2011-02-14,19,,Serviços,YAHOO,GRANDE,13
86,7930925883736021864,2014-03-02,,,Serviços,YAHOO,GRANDE,84
87,2678966409665050034,2011-02-14,21,,Serviços,AOL,MEDIO,20
88,4593070249039532001,2000-08-15,11,,Comércio,GMAIL,PEQUENO,93
89,7910340581026492945,2000-08-15,,,Comércio,YAHOO,GRANDE,64
90,5503391736465275980,2007-07-31,91,,Serviços,HOTMAIL,PEQUENO,77
91,6828316696355015040,2009-08-18,14,,Comércio,GMAIL,PEQUENO,17
92,5854364934896993687,2014-07-22,81,,Serviços,YAHOO,PEQUENO,55
93,959720947754650706,2017-08-06,,,Indústria,YAHOO,MEDIO,95
94,7485107528960607346,2010-08-04,,,Comércio,YAHOO,GRANDE,12
95,510795635145114083,2009-03-30,94,,Comércio,HOTMAIL,PEQUENO,68
96,6784879562354696650,2000-08-15,45,,,YAHOO,MEDIO,85
97,984915269987074754,2011-02-14,17,,Serviços,,GRANDE,15
98,499242942549937267,2007-10-17,16,,Serviços,AOL,GRANDE,14
99,6731795019313479942,2000-08-15,43,,Comércio,GMAIL,GRANDE,86
100,3829967475074118757,2007-03-19,,,Serviços,YAHOO,GRANDE,48
101,252206310123393284,2013-10-21,55,,Serviços,YAHOO,PEQUENO,98
102,4817816966382229074,2012-03-11,47,,Indústria,GMAIL,MEDIO,89
103,6545052034269841737,2016-10-04,64,,Indústria,YAHOO,MEDIO,75
104,107343823625119033,2000-08-15,11,,Indústria,YAHOO,PEQUENO,99
105,3279078057358159966,2015-04-01,11,,Serviços,GMAIL,PEQUENO,80
106,5225029212547588718,2000-08-15,19,,Comércio,YAHOO,MEDIO,13
107,5371387005775513675,2014-02-06,35,,Serviços,YAHOO,GRANDE,37
108,7347715771145302549,2012-03-11,11,,Comércio,YAHOO,MEDIO,92
109,93982185886107798,2011-07-13,88,,Comércio,YAHOO,GRANDE,62
110,6969348581033924947,2009-08-02,48,,Indústria,OUTLOOK,GRANDE,88
111,7367321179169390502,2015-11-24,35,,Comércio,YAHOO,MEDIO,37
112,7031913170099381454,2011-02-14,71,,Serviços,HOTMAIL,,48
113,7908414709866823255,2012-12-06,69,,Indústria,GMAIL,PEQUENO,76
114,649279100559994713,2011-05-16,64,,Serviços,,MEDIO,75
115,5897410907783139228,2011-02-14,32,,Comércio,GMAIL,GRANDE,36
116,8229446069655666941,2011-02-14,18,,Comércio,HOTMAIL,,16
117,6271697692808086495,2008-05-22,19,,Indústria,YAHOO,MEDIO,13
118,8716163053080758848,2017-02-21,48,,Indústria,YAHOO,GRANDE,88
119,3218226066162129945,2015-06-23,,,Indústria,HOTMAIL,PEQUENO,55
120,1536087798470875922,2018-03-20,85,,Indústria,GMAIL,PEQUENO,60
121,5860276371789140450,2011-02-15,91,,Serviços,HOTMAIL,GRANDE,67
122,665505091521986356,2011-05-16,11,,Serviços,GMAIL,MEDIO,12
123,851897122328714307,2011-02-14,21,,Comércio,YAHOO,MEDIO,24
124,6759864637454708017,2000-08-15,(6,,Serviços,GMAIL,GRANDE,68
125,465309249432033993,2014-07-23,69,,Comércio,GMAIL,GRANDE,76
126,824632039241482307,2011-05-19,99,,Serviços,YAHOO,MEDIO,65
127,3480297543931395935,2018-03-21,48,,Serviços,YAHOO,PEQUENO,88
128,8015571584405428572,2014-02-06,43,,Serviços,GMAIL,MEDIO,86
129,5409960473983330744,2011-02-14,,,Serviços,YAHOO,MEDIO,61
130,4071158585850879204,2000-08-15,18,,Indústria,HOTMAIL,GRANDE,17
131,6985631100944640910,2011-02-14,27,,Comércio,BOL,GRANDE,29
132,1292049196559782171,2013-05-05,66,,Serviços,HOTMAIL,MEDIO,78
133,4635578010631860111,2012-03-26,41,,Comércio,GMAIL,GRANDE,83
134,238894451665334246,2014-08-21,,,Serviços,YAHOO,MEDIO,29
135,7595945751692012281,2011-02-14,51,,Indústria,HOTMAIL,MEDIO,90
136,1958660709350677213,2016-11-22,62,,Indústria,GMAIL,MEDIO,75
137,1454789421854453615,2006-12-18,24,,Serviços,GMAIL,PEQUENO,23
138,4614484019183480654,2011-02-14,51,,Indústria,YAHOO,MEDIO,93
139,7541360189313243820,2017-09-20,27,,Serviços,BOL,MEDIO,35
140,6582676833651678345,2011-02-14,13,,Comércio,OUTLOOK,MEDIO,11
141,4089244710305890246,2006-08-01,71,,Comércio,AOL,GRANDE,41
142,2012477868296377155,2011-02-14,17,,Indústria,HOTMAIL,MEDIO,15
143,3713742318997880410,2000-08-15,16,,Comércio,HOTMAIL,PEQUENO,14
144,4008627434689715639,2000-08-15,12,,Serviços,HOTMAIL,PEQUENO,12
145,4335865859049992260,2000-08-15,31,,Serviços,HOTMAIL,MEDIO,30
146,7816319470107777265,2000-08-15,21,,Comércio,YAHOO,MEDIO,21
147,6238903426443761049,2016-08-07,85,,Serviços,GMAIL,MEDIO,60
148,2943087245123311166,2014-03-31,69,,Comércio,HOTMAIL,PEQUENO,76
149,5726178124659661019,2015-08-16,63,,Indústria,GMAIL,MEDIO,68
150,7770458886439606839,2017-08-03,62,,Serviços,GMAIL,GRANDE,75
151,1343849459953365123,2016-10-18,14,,Serviços,GMAIL,PEQUENO,16
152,5611787644735474299,2000-08-15,,,Serviços,HOTMAIL,MEDIO,83
153,5574997762710520717,2011-05-16,27,,,GMAIL,GRANDE,29
154,8409181491723988567,2000-08-15,24,,Indústria,YAHOO,MEDIO,26
155,312543480920432545,2011-02-14,46,,Comércio,GMAIL,PEQUENO,85
156,1210783884008131648,2000-08-15,(1,,Serviços,YAHOO,MEDIO,13
157,8828303152301461681,2000-08-15,32,,Serviços,GMAIL,GRANDE,36
158,662944582644865942,2000-08-15,81,,Comércio,YAHOO,GRANDE,50
159,7289435138601868544,2014-07-20,11,,Serviços,GMAIL,GRANDE,99
160,7325545718770538459,2011-02-15,11,,Comércio,AOL,GRANDE,87
161,2658946240987854807,2009-03-30,62,,Serviços,BOL,GRANDE,75
162,3118683330911759410,2011-02-14,85,,Serviços,HOTMAIL,PEQUENO,61
163,1036256411320325774,2000-08-15,21,,Serviços,YAHOO,PEQUENO,20
164,417157680860985231,2000-08-15,54,,Comércio,GMAIL,MEDIO,96
165,8041261093764417881,2011-02-14,14,,Comércio,HOTMAIL,GRANDE,18
166,5591489215787777256,2011-02-14,55,,Serviços,AOL,GRANDE,97
167,8398000036517692656,2013-06-16,77,,Serviços,HOTMAIL,GRANDE,45
168,2684293212741157926,2018-07-25,,,Comércio,GMAIL,PEQUENO,95
169,234898976850399181,2011-05-16,19,,Comércio,HOTMAIL,MEDIO,13
170,7231408738455755015,2006-07-26,17,,Serviços,HOTMAIL,,14
171,4972567100282306577,2006-07-09,11,,Serviços,YAHOO,MEDIO,57
172,2508429106201166689,2014-06-02,77,,Serviços,GMAIL,GRANDE,45
173,2455576782104041698,2000-08-15,11,,Comércio,HOTMAIL,GRANDE,46
174,361555714683085449,2009-06-11,11,,Comércio,GMAIL,GRANDE,99
175,4791195031160012361,2011-11-15,34,,Comércio,GMAIL,MEDIO,38
176,2290083177086946553,2014-09-18,31,,Comércio,AOL,PEQUENO,31
177,8195468623809753777,2000-08-15,11,,Serviços,HOTMAIL,MEDIO,98
178,6941381638534728190,2017-05-22,74,,Serviços,HOTMAIL,MEDIO,44
179,6330043096034525408,2015-07-21,77,,Serviços,HOTMAIL,PEQUENO,47
180,3355881107559250653,2011-02-14,31,,Comércio,HOTMAIL,GRANDE,32
181,7395696797140470088,2000-08-15,37,,Indústria,,PEQUENO,37
182,3275327267689584006,2016-01-31,94,,Indústria,HOTMAIL,MEDIO,68
183,5799279645678609726,2015-11-15,49,,Indústria,HOTMAIL,GRANDE,89
184,4571290108043699959,2000-08-15,,,Comércio,GMAIL,GRANDE,15
185,4724876423989598202,2011-02-14,34,,Indústria,GMAIL,MEDIO,38
186,2347028805684088098,2000-08-15,54,,Comércio,YAHOO,GRANDE,95
187,7637066986811047950,2014-09-16,81,,Indústria,HOTMAIL,GRANDE,54
188,7167988599372526790,2017-07-02,21,,Indústria,YAHOO,MEDIO,24
189,9206030810342980458,2005-08-08,11,,Serviços,HOTMAIL,MEDIO,91
190,7963861799566207637,2000-08-15,54,,Indústria,GMAIL,PEQUENO,95
191,5602023133976834072,2000-08-15,53,,Indústria,YAHOO,GRANDE,56
192,3742264304742819339,2016-01-11,86,,Comércio,HOTMAIL,MEDIO,64
193,170089315547146305,2000-08-15,18,,Serviços,HOTMAIL,GRANDE,19
194,8231834408402328152,2011-02-14,18,,Serviços,,MEDIO,19
195,968199235777440720,2011-02-15,67,,Serviços,YAHOO,MEDIO,79
196,4202876623878743806,2009-04-28,11,,Serviços,YAHOO,GRANDE,13
197,7457803471605010846,2000-08-15,56,,Serviços,GMAIL,GRANDE,93
198,968400235888951633,2014-02-02,,,Comércio,YAHOO,PEQUENO,95
199,7571271990906543121,2011-02-15,,,Serviços,AOL,MEDIO,18
200,7177785309735471560,2014-02-02,46,,Serviços,GMAIL,MEDIO,85
201,3472934456083131714,2011-02-14,16,,Indústria,YAHOO,GRANDE,14
202,1118514612547157551,2013-10-31,65,,Serviços,YAHOO,PEQUENO,78
203,5888474320320735000,2014-12-22,95,,Indústria,GMAIL,GRANDE,65
204,5606267905834401873,2012-10-01,54,,Indústria,YAHOO,MEDIO,99
205,2763141362035716801,2011-02-14,11,,Comércio,GMAIL,PEQUENO,38
206,6617479989097680138,2006-08-06,41,,Comércio,GMAIL,MEDIO,80
207,2382123267535341265,2011-02-14,22,,Serviços,GMAIL,MEDIO,28
208,4935929591787890253,2011-02-14,11,,Serviços,HOTMAIL,GRANDE,71
209,6227190030200106151,2011-02-14,73,,Serviços,GMAIL,MEDIO,45
210,3095408468798675621,2015-08-09,17,,Serviços,GMAIL,MEDIO,15
211,5271591321704178730,2014-10-21,34,,Serviços,YAHOO,MEDIO,38
212,5763886458177210090,2016-12-11,77,,Serviços,YAHOO,GRANDE,45
213,5791518044186095039,2000-08-15,(9,,Serviços,HOTMAIL,PEQUENO,68
214,2677901391425651891,2000-08-15,19,,Serviços,GMAIL,MEDIO,13
215,1778014915038250584,2008-12-09,27,,Comércio,OUTLOOK,PEQUENO,29
216,6198047969028248384,2016-02-23,66,,Indústria,YAHOO,GRANDE,78
217,2467590416042313927,2000-08-15,11,,Indústria,YAHOO,PEQUENO,12
218,1616952665234409442,2011-12-04,,,Comércio,YAHOO,GRANDE,28
219,6950439982480713649,2011-02-14,35,,Comércio,GMAIL,PEQUENO,37
220,5462970244186515758,2011-02-14,43,,Comércio,HOTMAIL,MEDIO,86
221,5465001651966355821,2000-08-15,61,,Indústria,GMAIL,MEDIO,72
222,689004070169545786,2000-08-15,73,,Serviços,OUTLOOK,GRANDE,45
223,5042877476420217533,2012-03-26,41,,Serviços,YAHOO,GRANDE,83
224,2554972344348383830,2018-03-28,48,,Serviços,GMAIL,GRANDE,88
225,6337915293429442229,2013-11-26,13,,Comércio,HOTMAIL,GRANDE,11
226,180672270337706285,2004-06-01,31,,Serviços,GMAIL,PEQUENO,33
227,7590999900861381526,2015-03-19,85,,Comércio,HOTMAIL,MEDIO,62
228,4183921942053157552,2011-02-14,,,Serviços,YAHOO,MEDIO,29
229,6916556752218696485,2008-09-11,31,,Serviços,OUTLOOK,GRANDE,32
230,7182085930008391174,2011-02-14,28,,Comércio,AOL,GRANDE,29
231,3093415403379897112,2011-02-14,16,,Serviços,AOL,MEDIO,14
232,6643358471662528195,2014-02-02,54,,Serviços,GMAIL,GRANDE,95
233,1551531256789550891,2011-02-14,13,,Serviços,YAHOO,GRANDE,11
234,5303720405946805990,2011-02-14,46,,Comércio,YAHOO,GRANDE,85
235,6817075905797098547,2007-05-02,18,,,AOL,GRANDE,16
236,2083323809219952960,2000-08-15,16,,Indústria,GMAIL,MEDIO,14
237,4995217181024687397,2000-08-15,17,,Serviços,HOTMAIL,GRANDE,15
238,3386019519917828299,2013-04-17,27,,Indústria,HOTMAIL,MEDIO,29
239,2201150681962815877,2011-02-15,43,,Indústria,YAHOO,GRANDE,86
240,7810985951121711480,2011-02-14,11,,,AOL,MEDIO,33
241,5864443060004179363,2000-08-15,11,,Serviços,GMAIL,GRANDE,98
242,2768068015169423097,2012-05-08,11,,Serviços,YAHOO,GRANDE,80
243,8080988579391900405,2011-02-14,51,,Comércio,GMAIL,PEQUENO,94
244,5369576709077493659,2000-08-15,12,,Indústria,GMAIL,GRANDE,12
245,1953058402621337677,2017-11-26,65,,Indústria,GMAIL,PEQUENO,78
246,2951563549197799278,2000-08-15,11,,Comércio,AOL,PEQUENO,13
247,8826489829259520138,2011-02-14,11,,Comércio,GMAIL,MEDIO,93
248,5082813456193598086,2012-05-21,16,,Comércio,GMAIL,GRANDE,14
249,670573866376512619,2015-11-12,34,,Comércio,HOTMAIL,MEDIO,13
250,8684964138237894839,2016-03-09,21,,Indústria,YAHOO,GRANDE,25
251,5440313607363845188,2000-08-15,11,,Serviços,GMAIL,GRANDE,96
252,274692171162531764,2005-08-03,19,,Serviços,GMAIL,PEQUENO,13
253,761746217261797478,2014-11-03,17,,Serviços,YAHOO,GRANDE,15
254,1088521227159442264,2000-08-15,(4,,Serviços,YAHOO,PEQUENO,89
255,792560389712312178,2000-08-15,11,,Comércio,HOTMAIL,GRANDE,97
256,6030285068945261052,2000-08-15,52,,Comércio,AOL,MEDIO,58
257,660382477567765256,2011-02-14,11,,Indústria,YAHOO,MEDIO,90
258,6284433051333854194,2017-03-09,11,,Comércio,YAHOO,GRANDE,12
259,7696655736121386405,2000-08-15,51,,Comércio,HOTMAIL,GRANDE,94
260,3285246914299291124,2011-02-14,43,,Serviços,HOTMAIL,MEDIO,86
261,2119292203323657032,2012-03-11,47,,Serviços,GMAIL,PEQUENO,89
262,903093877129717133,2000-08-15,11,,Serviços,HOTMAIL,GRANDE,44
263,7664272163315705419,2011-02-14,19,,Serviços,HOTMAIL,MEDIO,13
264,5434353421615275749,2011-02-14,11,,Indústria,GMAIL,GRANDE,76
265,7750874287225529604,2011-02-14,11,,Serviços,GMAIL,PEQUENO,31
266,1998941557906036376,2011-02-14,12,,Comércio,GMAIL,GRANDE,12
267,5432443358006556295,2006-01-09,19,,Serviços,GMAIL,MEDIO,13
268,3036967290595689189,2000-08-15,11,,Indústria,AOL,GRANDE,34
269,3137879241768961145,2015-04-26,87,,Comércio,AOL,GRANDE,56
270,5048392903148444335,2011-05-23,81,,Indústria,YAHOO,GRANDE,55
271,6968106554514688300,2011-05-16,21,,Comércio,YAHOO,GRANDE,23
272,7751080728852739823,2000-08-15,18,,Comércio,HOTMAIL,PEQUENO,16
273,5108407319813072955,2000-08-15,11,,Comércio,BOL,GRANDE,47
274,4327694790333781288,2014-03-02,42,,Serviços,HOTMAIL,PEQUENO,84
275,8505870778358741102,2011-02-14,98,,Serviços,GMAIL,GRANDE,65
276,257162352336759783,2011-02-14,12,,Serviços,YAHOO,GRANDE,12
277,6532139198609901627,2011-02-14,73,,Serviços,GMAIL,GRANDE,45
278,7492389223353246125,2000-08-15,71,,Comércio,YAHOO,GRANDE,56
279,1553628056929342565,2009-09-29,(8,,Comércio,YAHOO,MEDIO,59
280,7720744580848517371,2017-12-10,92,,Serviços,HOTMAIL,MEDIO,69
281,6927178425683104769,2000-08-15,41,,Serviços,AOL,MEDIO,82
282,39547025441582855,2015-02-12,77,,Serviços,GMAIL,PEQUENO,47
283,8643106054593378360,2015-11-05,11,,Serviços,YAHOO,MEDIO,71
284,7120090169052575663,2000-08-15,86,,Serviços,GMAIL,GRANDE,64
285,963687627963462983,2012-03-11,47,,Comércio,BOL,MEDIO,89
286,2335982750277990437,2007-06-10,61,,Serviços,AOL,GRANDE,30
287,5687511145009775604,2014-12-02,98,,Serviços,YAHOO,MEDIO,65
288,4489904752023469353,2000-08-15,19,,Indústria,GMAIL,GRANDE,13
289,8939476669690489534,2009-11-22,31,,Comércio,HOTMAIL,PEQUENO,35
290,8785648114090695180,2013-07-09,21,,Serviços,HOTMAIL,MEDIO,25
291,5067621068959932809,2011-02-14,33,,Serviços,HOTMAIL,GRANDE,35
292,1272921915900711149,2006-09-26,11,,Comércio,GMAIL,MEDIO,91
293,5503073374822479037,2000-08-15,37,,Indústria,GMAIL,MEDIO,21
294,7920896580423665241,2011-02-14,24,,Serviços,HOTMAIL,MEDIO,27
295,8874257794774679816,2012-04-26,41,,Comércio,GMAIL,MEDIO,89
296,2761181567313020223,2017-04-17,12,,Indústria,HOTMAIL,MEDIO,12
297,3698481516392183789,2011-02-14,44,,Indústria,GMAIL,MEDIO,87
298,3760177249735580557,2012-03-15,11,,Comércio,GMAIL,GRANDE,77
299,8400764778654490278,2016-08-11,41,,Comércio,GMAIL,MEDIO,80
300,7895753719321668294,2017-07-11,73,,Serviços,HOTMAIL,GRANDE,45
301,8897340779547593728,2017-07-05,11,,Indústria,GMAIL,GRANDE,71
302,3025708129948185495,2009-10-15,,,Comércio,HOTMAIL,PEQUENO,19
303,1115703227712697214,2011-02-14,82,,Comércio,AOL,MEDIO,57
304,5176940320835464459,2011-02-14,49,,Comércio,YAHOO,GRANDE,89
305,3156852928909455203,2009-08-12,98,,Serviços,GMAIL,MEDIO,65
306,3977861004707764824,2011-02-14,44,,Serviços,GMAIL,GRANDE,87
307,1951407691087813358,2000-08-15,12,,Comércio,HOTMAIL,GRANDE,12
308,8245393384938410770,2004-12-06,55,,Indústria,HOTMAIL,MEDIO,97
309,5338466578956451922,2018-06-05,,,Indústria,GMAIL,GRANDE,59
310,187117706370645370,2009-04-01,65,,Serviços,YAHOO,MEDIO,78
311,3228830386980584958,2000-08-15,51,,Comércio,YAHOO,PEQUENO,94
312,5988277776808227480,2000-08-15,16,,Comércio,YAHOO,,15
313,8305404138704642088,2011-09-27,62,,Indústria,GMAIL,GRANDE,74
314,1052398277967427422,2013-10-03,77,,Serviços,YAHOO,GRANDE,46
315,1235244772550233980,2000-08-15,77,,Comércio,GMAIL,GRANDE,45
316,2466177460692220853,2016-02-23,46,,Serviços,GMAIL,MEDIO,85
317,7108899417216809461,2015-02-19,94,,Indústria,GMAIL,PEQUENO,68
318,3634047863995720708,2015-03-03,11,,Serviços,YAHOO,GRANDE,12
319,3382624494518753363,2014-11-10,81,,Indústria,GMAIL,MEDIO,55
320,6134696632487351445,2006-02-22,11,,Indústria,OUTLOOK,MEDIO,25
321,7436628409157313756,2000-08-15,41,,Indústria,AOL,PEQUENO,80
322,5341957521413340599,2011-02-14,47,,Comércio,BOL,GRANDE,89
323,7779268298304613772,2011-02-14,19,,Indústria,GMAIL,GRANDE,13
324,2493305884832539159,2000-08-15,71,,Comércio,HOTMAIL,PEQUENO,40
325,4850722092974676955,2014-10-15,87,,Serviços,YAHOO,PEQUENO,56
326,6031976689490342098,2000-08-15,62,,Comércio,YAHOO,MEDIO,74
327,66220087398241662,2016-09-15,62,,Comércio,HOTMAIL,MEDIO,13
328,49632905576538927,2014-04-27,42,,Comércio,YAHOO,GRANDE,80
329,682352428813668634,2000-08-15,98,,Indústria,HOTMAIL,MEDIO,35
330,5856610998569876318,2011-02-14,21,,Indústria,GMAIL,MEDIO,22
331,1343530446996409207,2017-09-27,11,,Serviços,HOTMAIL,GRANDE,18
332,3660744270380078352,2008-07-21,65,,Indústria,HOTMAIL,PEQUENO,78
333,2735662700719640627,2013-09-26,85,,Serviços,GMAIL,MEDIO,61
334,1000372849175668062,2011-02-14,17,,Indústria,HOTMAIL,GRANDE,14
335,1069093308328204542,2014-02-02,54,,Serviços,OUTLOOK,GRANDE,99
336,5540361570968095722,2011-02-14,11,,Comércio,HOTMAIL,MEDIO,13
337,5810778736737569699,2000-08-15,35,,Comércio,HOTMAIL,PEQUENO,37
338,6521201759558790083,2013-11-18,37,,Serviços,OUTLOOK,MEDIO,35
339,7451017400765373278,2000-08-15,34,,Comércio,OUTLOOK,PEQUENO,38
340,9052787288251876909,2014-02-02,54,,Serviços,GMAIL,GRANDE,99
341,3807130563335796378,2009-01-11,,,Indústria,HOTMAIL,PEQUENO,46
342,4102750661040919723,2018-01-07,,,Indústria,GMAIL,GRANDE,85
343,6448580780254847411,2018-05-13,,,Indústria,GMAIL,MEDIO,89
344,121658372387044248,2011-02-14,22,,Comércio,YAHOO,GRANDE,28
345,3898162407838983449,2018-07-25,,,Serviços,GMAIL,MEDIO,93
346,8596605705893456305,2013-09-18,62,,Comércio,YAHOO,GRANDE,75
347,8111050199502844765,2012-05-06,,,Serviços,HOTMAIL,MEDIO,57
348,511305041047444825,2011-02-14,79,,Serviços,YAHOO,GRANDE,49
349,7665801401860589626,2011-02-14,99,,Serviços,GMAIL,PEQUENO,65
350,2128970218770090704,2017-02-07,62,,Comércio,YAHOO,GRANDE,75
351,5547032541615425352,2000-08-15,11,,Serviços,AOL,GRANDE,62
352,1637960623843047520,2000-08-15,24,,Comércio,HOTMAIL,MEDIO,25
