,ID_CLIENTE,SAFRA_REF,RENDA_MES_ANTERIOR,NO_FUNCIONARIOS
93115,3218792504195936313,2018-09,666612.0,102.0
402205,5477900120643078645,2018-09,231950.0,100.0
64741,3095686599956852697,2018-09,206909.0,144.0
312561,8348574220426911086,2018-09,121122.0,102.0
455155,1357573192598249600,2018-09,391529.0,112.0
20893,5522764880180045081,2018-09,213124.0,92.0
113431,4043546053926060305,2018-09,125563.0,80.0
98911,8512214463586144353,2018-09,152626.0,94.0
452292,837142477962609471,2018-09,135738.0,109.0
98913,410843023337872279,2018-09,178893.0,89.0
346294,8646472172649019955,2018-09,596408.0,114.0
498589,351031887141663937,2018-09,118415.0,95.0
211469,4414438591613884911,2018-09,770366.0,105.0
493034,692350198401528327,2018-09,318129.0,92.0
385409,4569866309119931805,2018-09,369112.0,119.0
525970,5999145415800242177,2018-09,233563.0,104.0
276373,7930925883736021864,2018-09,212132.0,111.0
471443,2678966409665050034,2018-09,443834.0,107.0
504488,4593070249039532001,2018-09,103786.0,80.0
487822,7910340581026492945,2018-09,388525.0,95.0
247967,5503391736465275980,2018-09,193062.0,105.0
517806,6828316696355015040,2018-09,96512.0,101.0
501630,5854364934896993687,2018-09,542610.0,150.0
191411,959720947754650706,2018-09,386869.0,111.0
324122,7485107528960607346,2018-09,753060.0,109.0
89916,510795635145114083,2018-09,352128.0,86.0
528632,6784879562354696650,2018-09,105777.0,129.0
262221,984915269987074754,2018-09,161926.0,126.0
72345,499242942549937267,2018-09,323656.0,120.0
536860,6731795019313479942,2018-09,212003.0,110.0
156846,3829967475074118757,2018-09,165718.0,120.0
32767,252206310123393284,2018-09,105554.0,71.0
199798,4817816966382229074,2018-09,415980.0,112.0
191409,6545052034269841737,2018-09,173639.0,105.0
349282,107343823625119033,2018-09,353486.0,78.0
310224,3279078057358159966,2018-09,356696.0,125.0
379819,5225029212547588718,2018-09,142382.0,104.0
517809,5371387005775513675,2018-09,213100.0,112.0
363031,7347715771145302549,2018-09,209843.0,101.0
38667,93982185886107798,2018-09,294227.0,127.0
371017,6969348581033924947,2018-09,245998.0,132.0
50176,7367321179169390502,2018-09,169898.0,106.0
47310,7031913170099381454,2018-09,176763.0,97.0
312787,7908414709866823255,2018-09,54855.0,116.0
523227,649279100559994713,2018-09,123540.0,108.0
214366,5897410907783139228,2018-09,542050.0,118.0
197285,8229446069655666941,2018-09,143291.0,123.0
466043,6271697692808086495,2018-09,520089.0,126.0
404703,8716163053080758848,2018-09,183208.0,105.0
253698,3218226066162129945,2018-09,76468.0,94.0
197225,1536087798470875922,2018-09,400669.0,118.0
29545,5860276371789140450,2018-09,336626.0,109.0
133892,665505091521986356,2018-09,104776.0,102.0
98915,851897122328714307,2018-09,1032413.0,93.0
560808,6759864637454708017,2018-09,197987.0,121.0
295965,465309249432033993,2018-09,119757.0,93.0
446557,824632039241482307,2018-09,164217.0,89.0
213991,3480297543931395935,2018-09,509369.0,121.0
558438,8015571584405428572,2018-09,348421.0,98.0
75412,5409960473983330744,2018-09,365250.0,116.0
460689,4071158585850879204,2018-09,132078.0,111.0
379825,6985631100944640910,2018-09,349431.0,97.0
239277,1292049196559782171,2018-09,438346.0,113.0
222898,4635578010631860111,2018-09,504666.0,82.0
479628,238894451665334246,2018-09,455366.0,99.0
20904,7595945751692012281,2018-09,254957.0,115.0
171376,1958660709350677213,2018-09,104784.0,107.0
259305,1454789421854453615,2018-09,118542.0,110.0
498812,4614484019183480654,2018-09,103843.0,96.0
583,7541360189313243820,2018-09,130519.0,90.0
542216,6582676833651678345,2018-09,157793.0,122.0
23879,4089244710305890246,2018-09,173168.0,100.0
14957,2012477868296377155,2018-09,186199.0,114.0
287833,3713742318997880410,2018-09,144877.0,106.0
441178,4008627434689715639,2018-09,345588.0,111.0
413392,4335865859049992260,2018-09,622671.0,126.0
432879,7816319470107777265,2018-09,330399.0,108.0
188685,6238903426443761049,2018-09,210062.0,104.0
346295,2943087245123311166,2018-09,226731.0,86.0
20657,5726178124659661019,2018-09,641484.0,105.0
298944,7770458886439606839,2018-09,51440.0,138.0
177207,1343849459953365123,2018-09,313952.0,108.0
349265,5611787644735474299,2018-09,114478.0,119.0
6275,5574997762710520717,2018-09,162190.0,110.0
101700,8409181491723988567,2018-09,427739.0,131.0
512464,312543480920432545,2018-09,203573.0,80.0
539428,1210783884008131648,2018-09,132531.0,87.0
534127,8828303152301461681,2018-09,337916.0,89.0
525971,662944582644865942,2018-09,31571.0,118.0
332507,7289435138601868544,2018-09,171870.0,118.0
382513,7325545718770538459,2018-09,146147.0,122.0
214367,2658946240987854807,2018-09,147785.0,126.0
113412,3118683330911759410,2018-09,344216.0,89.0
393657,1036256411320325774,2018-09,24619.0,81.0
446799,417157680860985231,2018-09,195258.0,101.0
520582,8041261093764417881,2018-09,642673.0,104.0
563722,5591489215787777256,2018-09,213817.0,126.0
501618,8398000036517692656,2018-09,484817.0,107.0
53017,2684293212741157926,2018-09,163342.0,104.0
130929,234898976850399181,2018-09,306480.0,132.0
107462,7231408738455755015,2018-09,182834.0,99.0
139665,4972567100282306577,2018-09,163984.0,98.0
552966,2508429106201166689,2018-09,153762.0,98.0
349268,2455576782104041698,2018-09,139680.0,108.0
162596,361555714683085449,2018-09,211976.0,105.0
11989,4791195031160012361,2018-09,288321.0,75.0
482385,2290083177086946553,2018-09,450993.0,104.0
162594,8195468623809753777,2018-09,136825.0,126.0
119228,6941381638534728190,2018-09,195322.0,108.0
216793,6330043096034525408,2018-09,110775.0,78.0
539429,3355881107559250653,2018-09,761969.0,99.0
424630,7395696797140470088,2018-09,196959.0,126.0
298720,3275327267689584006,2018-09,190505.0,112.0
41011,5799279645678609726,2018-09,98223.0,144.0
225723,4571290108043699959,2018-09,127848.0,115.0
507224,4724876423989598202,2018-09,381478.0,123.0
525977,2347028805684088098,2018-09,276012.0,115.0
561037,7637066986811047950,2018-09,220769.0,120.0
248215,7167988599372526790,2018-09,425437.0,139.0
11991,9206030810342980458,2018-09,277371.0,89.0
262237,7963861799566207637,2018-09,222045.0,129.0
363039,5602023133976834072,2018-09,273299.0,89.0
142301,3742264304742819339,2018-09,165660.0,99.0
6281,170089315547146305,2018-09,718178.0,87.0
354805,8231834408402328152,2018-09,141773.0,88.0
171378,968199235777440720,2018-09,250654.0,112.0
531287,4202876623878743806,2018-09,257853.0,113.0
405092,7457803471605010846,2018-09,270539.0,98.0
385428,968400235888951633,2018-09,19371.0,108.0
162603,7571271990906543121,2018-09,119193.0,96.0
493267,7177785309735471560,2018-09,209751.0,117.0
360289,3472934456083131714,2018-09,715310.0,96.0
35749,1118514612547157551,2018-09,70472.0,87.0
86972,5888474320320735000,2018-09,1853.0,90.0
93122,5606267905834401873,2018-09,18835.0,103.0
159739,2763141362035716801,2018-09,360628.0,84.0
142569,6617479989097680138,2018-09,106365.0,141.0
531289,2382123267535341265,2018-09,237335.0,88.0
75371,4935929591787890253,2018-09,403388.0,131.0
457905,6227190030200106151,2018-09,222064.0,60.0
127977,3095408468798675621,2018-09,176659.0,120.0
343747,5271591321704178730,2018-09,78155.0,95.0
3405,5763886458177210090,2018-09,65502.0,107.0
49949,5791518044186095039,2018-09,138903.0,112.0
474241,2677901391425651891,2018-09,347289.0,108.0
182976,1778014915038250584,2018-09,434927.0,97.0
304651,6198047969028248384,2018-09,683404.0,125.0
482387,2467590416042313927,2018-09,179782.0,94.0
441126,1616952665234409442,2018-09,1373712.0,99.0
517832,6950439982480713649,2018-09,118130.0,123.0
194328,5462970244186515758,2018-09,561337.0,106.0
262226,5465001651966355821,2018-09,264555.0,93.0
156857,689004070169545786,2018-09,146266.0,109.0
159740,5042877476420217533,2018-09,225171.0,97.0
118888,2554972344348383830,2018-09,508514.0,111.0
208586,6337915293429442229,2018-09,174121.0,111.0
446828,180672270337706285,2018-09,336852.0,89.0
239771,7590999900861381526,2018-09,146647.0,118.0
357607,4183921942053157552,2018-09,552537.0,92.0
14951,6916556752218696485,2018-09,104789.0,122.0
194325,7182085930008391174,2018-09,696640.0,92.0
101699,3093415403379897112,2018-09,270823.0,97.0
534131,6643358471662528195,2018-09,356640.0,116.0
310234,1551531256789550891,2018-09,412182.0,109.0
11995,5303720405946805990,2018-09,156475.0,103.0
256472,6817075905797098547,2018-09,521725.0,133.0
410611,2083323809219952960,2018-09,186494.0,104.0
304648,4995217181024687397,2018-09,361090.0,121.0
536869,3386019519917828299,2018-09,141083.0,127.0
388110,2201150681962815877,2018-09,233895.0,98.0
416167,7810985951121711480,2018-09,559513.0,101.0
407876,5864443060004179363,2018-09,294349.0,92.0
245453,2768068015169423097,2018-09,109014.0,108.0
220093,8080988579391900405,2018-09,181042.0,118.0
393613,5369576709077493659,2018-09,277357.0,137.0
463164,1953058402621337677,2018-09,270725.0,99.0
270752,2951563549197799278,2018-09,359458.0,130.0
390825,8826489829259520138,2018-09,324564.0,130.0
119229,5082813456193598086,2018-09,374969.0,112.0
474264,670573866376512619,2018-09,87605.0,109.0
487850,8684964138237894839,2018-09,130174.0,135.0
365857,5440313607363845188,2018-09,130280.0,102.0
528651,274692171162531764,2018-09,209706.0,90.0
421814,761746217261797478,2018-09,207913.0,115.0
236593,1088521227159442264,2018-09,167218.0,88.0
61798,792560389712312178,2018-09,670906.0,103.0
250957,6030285068945261052,2018-09,770858.0,93.0
509810,660382477567765256,2018-09,224619.0,121.0
487827,6284433051333854194,2018-09,68781.0,99.0
501619,7696655736121386405,2018-09,456638.0,114.0
156864,3285246914299291124,2018-09,134819.0,102.0
415778,2119292203323657032,2018-09,403149.0,77.0
125003,903093877129717133,2018-09,279755.0,100.0
379830,7664272163315705419,2018-09,146037.0,101.0
202944,5434353421615275749,2018-09,368102.0,101.0
23874,7750874287225529604,2018-09,186155.0,109.0
151208,1998941557906036376,2018-09,121560.0,127.0
321450,5432443358006556295,2018-09,492892.0,94.0
194326,3036967290595689189,2018-09,292000.0,134.0
32772,3137879241768961145,2018-09,105554.0,120.0
455161,5048392903148444335,2018-09,831001.0,96.0
471447,6968106554514688300,2018-09,109805.0,106.0
133896,7751080728852739823,2018-09,281089.0,114.0
119231,5108407319813072955,2018-09,137981.0,99.0
416166,4327694790333781288,2018-09,168356.0,112.0
432606,8505870778358741102,2018-09,259062.0,103.0
9151,257162352336759783,2018-09,46705.0,108.0
501621,6532139198609901627,2018-09,65688.0,109.0
182969,7492389223353246125,2018-09,147368.0,96.0
298941,1553628056929342565,2018-09,253632.0,108.0
194346,7720744580848517371,2018-09,88087.0,109.0
396571,6927178425683104769,2018-09,338601.0,117.0
515173,39547025441582855,2018-09,555535.0,99.0
396153,8643106054593378360,2018-09,63781.0,106.0
487606,7120090169052575663,2018-09,335753.0,97.0
133502,963687627963462983,2018-09,133637.0,125.0
298990,2335982750277990437,2018-09,63597.0,110.0
385200,5687511145009775604,2018-09,529090.0,98.0
340901,4489904752023469353,2018-09,241371.0,112.0
351634,8939476669690489534,2018-09,133050.0,144.0
346500,8785648114090695180,2018-09,340272.0,115.0
139675,5067621068959932809,2018-09,219734.0,120.0
544950,1272921915900711149,2018-09,239507.0,89.0
485140,5503073374822479037,2018-09,31366.0,98.0
421822,7920896580423665241,2018-09,217533.0,110.0
211066,8874257794774679816,2018-09,132914.0,139.0
80855,2761181567313020223,2018-09,921781.0,73.0
104580,3698481516392183789,2018-09,939315.0,126.0
542253,3760177249735580557,2018-09,538227.0,113.0
525989,8400764778654490278,2018-09,241755.0,116.0
78354,7895753719321668294,2018-09,614373.0,125.0
47321,8897340779547593728,2018-09,109378.0,137.0
315867,3025708129948185495,2018-09,616577.0,117.0
360294,1115703227712697214,2018-09,406199.0,87.0
239396,5176940320835464459,2018-09,317313.0,105.0
113198,3156852928909455203,2018-09,195259.0,111.0
296208,3977861004707764824,2018-09,79478.0,108.0
23878,1951407691087813358,2018-09,349797.0,104.0
529,8245393384938410770,2018-09,213747.0,109.0
446832,5338466578956451922,2018-09,160824.0,123.0
78352,187117706370645370,2018-09,44096.0,93.0
520589,3228830386980584958,2018-09,442730.0,123.0
29802,5988277776808227480,2018-09,75132.0,137.0
78371,8305404138704642088,2018-09,134499.0,91.0
371412,1052398277967427422,2018-09,110960.0,107.0
98923,1235244772550233980,2018-09,126651.0,92.0
139660,2466177460692220853,2018-09,293611.0,98.0
552729,7108899417216809461,2018-09,184763.0,118.0
44444,3634047863995720708,2018-09,266620.0,110.0
338220,3382624494518753363,2018-09,11428.0,107.0
363122,6134696632487351445,2018-09,59364.0,110.0
228470,7436628409157313756,2018-09,325454.0,114.0
558019,5341957521413340599,2018-09,221639.0,101.0
509812,7779268298304613772,2018-09,466562.0,129.0
182990,2493305884832539159,2018-09,460838.0,117.0
452287,4850722092974676955,2018-09,852656.0,119.0
159742,6031976689490342098,2018-09,532621.0,118.0
182987,66220087398241662,2018-09,944288.0,89.0
368594,49632905576538927,2018-09,356780.0,117.0
142572,682352428813668634,2018-09,14579.0,104.0
563738,5856610998569876318,2018-09,302001.0,143.0
393618,1343530446996409207,2018-09,169820.0,103.0
122169,3660744270380078352,2018-09,139357.0,99.0
159743,2735662700719640627,2018-09,541290.0,96.0
501634,1000372849175668062,2018-09,65973.0,99.0
242593,1069093308328204542,2018-09,435817.0,88.0
262236,5540361570968095722,2018-09,139987.0,103.0
95535,5810778736737569699,2018-09,338257.0,139.0
444047,6521201759558790083,2018-09,288186.0,99.0
270760,7451017400765373278,2018-09,254485.0,92.0
38682,9052787288251876909,2018-09,238824.0,132.0
427370,3807130563335796378,2018-09,129778.0,112.0
270762,4102750661040919723,2018-09,319336.0,81.0
426985,6448580780254847411,2018-09,231630.0,112.0
35762,121658372387044248,2018-09,245646.0,94.0
191419,3898162407838983449,2018-09,180129.0,136.0
424643,8596605705893456305,2018-09,357072.0,120.0
148290,8111050199502844765,2018-09,431868.0,92.0
133900,511305041047444825,2018-09,218248.0,74.0
413143,7665801401860589626,2018-09,173410.0,111.0
531293,2128970218770090704,2018-09,235262.0,96.0
463404,5547032541615425352,2018-09,449226.0,83.0
282021,1637960623843047520,2018-09,506836.0,92.0
98929,8215958479134054873,2018-09,51094.0,122.0
304656,86110062990790869,2018-09,81279.0,106.0
487832,3704808902628008971,2018-09,360197.0,103.0
438280,5613825020130267729,2018-09,126328.0,82.0
343752,8529899700094903171,2018-09,261378.0,118.0
444036,1308019675417057675,2018-09,105642.0,108.0
449162,5460280878923715699,2018-09,305779.0,129.0
125033,8270671464659850683,2018-09,487789.0,117.0
484921,8662923640484889291,2018-09,204727.0,121.0
515183,6987942592445950913,2018-09,68899.0,122.0
197235,3238269558731666664,2018-09,205642.0,125.0
352056,7085295800541340563,2018-09,237491.0,93.0
32521,7930644815080409701,2018-09,451454.0,99.0
275984,4831939798545673038,2018-09,335058.0,129.0
64297,8313765100460016738,2018-09,392384.0,88.0
222910,2022367282554149730,2018-09,260008.0,92.0
251000,1195244642827484543,2018-09,91347.0,105.0
75387,8350724667410677464,2018-09,378706.0,112.0
185430,6486277549325701534,2018-09,364317.0,114.0
151219,2785178201607654410,2018-09,474607.0,93.0
279250,4919908458022265747,2018-09,209428.0,117.0
211069,9205015186723569289,2018-09,319724.0,112.0
245451,7722287846688771887,2018-09,89966.0,143.0
159,1874361799315286610,2018-09,195151.0,114.0
159745,5884104941462322372,2018-09,27741.0,0.0
41392,8287608084245946173,2018-09,167657.0,110.0
17605,8213533889694327948,2018-09,344212.0,130.0
563736,3045840317107313913,2018-09,298324.0,78.0
329810,2214132103234633622,2018-09,400146.0,62.0
421414,7949169060790541229,2018-09,163349.0,117.0
329823,7621083433504010869,2018-09,244568.0,85.0
202964,5794903898038236832,2018-09,61354.0,123.0
490083,6020593949794792044,2018-09,31991.0,113.0
107504,4045739494965095560,2018-09,341254.0,123.0
298946,6122719618012473549,2018-09,157157.0,99.0
279001,7787306805605072964,2018-09,157838.0,112.0
490505,6824842959463625344,2018-09,17262.0,0.0
435607,8503092146854371576,2018-09,113747.0,100.0
56026,3204108603682323936,2018-09,462352.0,87.0
479668,4588313530969303734,2018-09,98698.0,100.0
390464,5786895437851445408,2018-09,24421.0,129.0
14989,5122095358293179297,2018-09,288699.0,108.0
352133,2900002014851776114,2018-09,277780.0,72.0
162205,3591324331706630867,2018-09,249831.0,92.0
343503,1044568737046072781,2018-09,192217.0,101.0
318744,4749976982519957792,2018-09,487367.0,149.0
154105,5732713959930509093,2018-09,360746.0,115.0
211489,5511113649464808344,2018-09,397939.0,96.0
396586,1613152204777372951,2018-09,192534.0,93.0
474247,696014079855281037,2018-09,138380.0,103.0
346510,9089528044547831569,2018-09,29755.0,122.0
17451,5880041582322293710,2018-09,366701.0,89.0
471490,2773493808492482979,2018-09,291355.0,137.0
217218,4740535838297269949,2018-09,579886.0,131.0
9191,8106044482585783481,2018-09,142930.0,105.0
323905,5577659616907513811,2018-09,999601.0,116.0
81277,8570963260597299378,2018-09,79390.0,134.0
410373,1559814738862939390,2018-09,82411.0,126.0
142169,175003104385133396,2018-09,505675.0,80.0
273590,4785355632922927313,2018-09,199038.0,104.0
474285,6217788509719675691,2018-09,748085.0,130.0
487872,5136739522477907100,2018-09,188989.0,94.0
550258,3382609338395832683,2018-09,341971.0,113.0
438285,6012031176108922616,2018-09,190357.0,77.0
402226,6276792736652545216,2018-09,632229.0,115.0
495958,8535586342375301953,2018-09,759421.0,108.0
127990,8715120689636420963,2018-09,222246.0,110.0
188740,8480109508191086169,2018-09,125267.0,107.0
234215,6456490958004500912,2018-09,699494.0,101.0
197244,1698828605814171242,2018-09,669731.0,107.0
492862,5263285038415073073,2018-09,399830.0,91.0
474322,2606594191222500726,2018-09,31619.0,84.0
208604,8248484932270772248,2018-09,115727.0,109.0
9160,4758362594913729429,2018-09,576839.0,120.0
242596,6858769421191999702,2018-09,157008.0,128.0
200224,2860472732401119424,2018-09,412526.0,80.0
50197,7215093571368368138,2018-09,103912.0,111.0
402263,4942577693958917591,2018-09,315809.0,133.0
32524,8332840690177201182,2018-09,75380.0,88.0
84003,2819054834565698513,2018-09,312363.0,118.0
504506,3161361581909316305,2018-09,375048.0,93.0
122184,8405044237103061926,2018-09,27151.0,82.0
171179,4444330375740387073,2018-09,147171.0,97.0
533757,4820852183212661131,2018-09,51591.0,80.0
121904,6547707428090179960,2018-09,100819.0,119.0
346039,8292458529987016717,2018-09,91710.0,125.0
520593,4831988987853936627,2018-09,111327.0,145.0
214459,3724562776372632620,2018-09,70358.0,96.0
360297,9127318190908282126,2018-09,89904.0,98.0
393821,9184785003280841216,2018-09,404235.0,101.0
245461,1117184216453911295,2018-09,92646.0,90.0
549,6091519986999196884,2018-09,90233.0,152.0
43965,9086764557051796364,2018-09,388868.0,128.0
528648,4714214581184951490,2018-09,225026.0,102.0
402233,2535803443850893368,2018-09,272914.0,111.0
368613,7141263195360679278,2018-09,388315.0,110.0
298999,7986579715832156923,2018-09,123635.0,128.0
354811,2407532237672094312,2018-09,104190.0,88.0
104627,1533755281771668509,2018-09,408321.0,117.0
162617,8623308321032624474,2018-09,381525.0,85.0
424652,7442192566700924647,2018-09,180940.0,112.0
390862,652740132671309295,2018-09,271104.0,94.0
38693,7992317448197179816,2018-09,76984.0,135.0
368620,4079447215339975026,2018-09,32654.0,107.0
476965,2369364892942408355,2018-09,676068.0,120.0
231420,6325701146112164499,2018-09,251599.0,86.0
87270,7838728548369705327,2018-09,22376.0,0.0
44449,6204723742351094322,2018-09,610955.0,79.0
485159,1192810733461560329,2018-09,190793.0,90.0
430080,9038299527164672091,2018-09,227215.0,109.0
474015,9098842671739010918,2018-09,829531.0,111.0
14970,2532435113844289043,2018-09,490082.0,90.0
466048,1741049493106216406,2018-09,229257.0,83.0
287848,1492506290963489177,2018-09,171666.0,117.0
287851,8889055492416898333,2018-09,147279.0,133.0
75398,7444686668183702737,2018-09,355111.0,127.0
485151,3027683745465216663,2018-09,616888.0,106.0
301776,3281818438120834833,2018-09,110353.0,94.0
47343,5752688018135006198,2018-09,136211.0,109.0
427383,798425422240919854,2018-09,108923.0,106.0
214139,4995679129936981612,2018-09,132820.0,128.0
23893,1182975716201409626,2018-09,193037.0,94.0
438342,5274777191770957761,2018-09,119453.0,130.0
165241,5487870288449327165,2018-09,233225.0,119.0
6307,6098833389547425063,2018-09,83841.0,112.0
208656,7848910047105468475,2018-09,529174.0,116.0
552988,5166128847048245697,2018-09,107189.0,111.0
452308,4532469127306079736,2018-09,131563.0,102.0
92871,7870373680211625064,2018-09,125616.0,92.0
435630,3832944730982767714,2018-09,416183.0,114.0
133924,5255460548789019114,2018-09,240477.0,101.0
47358,8382418367191468432,2018-09,251608.0,110.0
368328,780065359501679358,2018-09,487791.0,110.0
371180,5893903674205161232,2018-09,106047.0,100.0
468641,2408009918678280470,2018-09,65649.0,103.0
231410,524026009392362402,2018-09,375674.0,76.0
41412,5635781225931111684,2018-09,520400.0,94.0
231116,6681781879793693802,2018-09,96675.0,136.0
133927,8255085612985072878,2018-09,465597.0,125.0
113442,717981637594591016,2018-09,253695.0,113.0
225755,3195023578711095555,2018-09,285441.0,106.0
566435,6349142675790687765,2018-09,379273.0,131.0
119259,8548612698724688238,2018-09,467583.0,128.0
259065,2020646654269061959,2018-09,388240.0,99.0
284625,8909740532547211288,2018-09,653898.0,111.0
501659,7330131219998265639,2018-09,59383.0,104.0
255934,8196449005061156808,2018-09,44713.0,97.0
64779,8522044805243541048,2018-09,192452.0,87.0
225790,4704345573576551103,2018-09,19148.0,90.0
377019,1266005398529207853,2018-09,128940.0,104.0
371441,7613717984547031729,2018-09,312436.0,120.0
332535,8779038337925278543,2018-09,611133.0,126.0
234240,1748142500108801439,2018-09,632352.0,79.0
151253,2805743565496207618,2018-09,464525.0,113.0
566455,3306590223632993094,2018-09,376328.0,98.0
47101,1088268935649917461,2018-09,280349.0,116.0
407907,2032592272238235730,2018-09,79719.0,84.0
377061,8083157716178259762,2018-09,801078.0,121.0
171432,1610763516326092136,2018-09,94927.0,86.0
293036,5692263270628375692,2018-09,132888.0,112.0
154080,3135499551958202113,2018-09,355870.0,97.0
304274,7176848230239877915,2018-09,280619.0,123.0
490560,8198518259946944874,2018-09,326166.0,138.0
296237,1156082905751962591,2018-09,16799.0,108.0
432893,6633838062940819075,2018-09,55219.0,106.0
471492,2179772649873197365,2018-09,418754.0,128.0
418621,7686361238195690925,2018-09,314399.0,123.0
56063,1977574645216036803,2018-09,553341.0,104.0
335409,4566920105008626302,2018-09,430868.0,80.0
332539,5029701292539093910,2018-09,288890.0,99.0
231422,8843432852270832388,2018-09,73135.0,110.0
275983,5047610560952554261,2018-09,74203.0,94.0
53054,3997247264680905799,2018-09,798645.0,132.0
279291,4342146186255136598,2018-09,45110.0,102.0
98955,7707459425750676368,2018-09,128192.0,127.0
53073,1177363334134147131,2018-09,28516.0,0.0
53060,1423952977138155129,2018-09,503349.0,107.0
340953,3258345688897172820,2018-09,476819.0,121.0
220125,8623308321032624474,2018-10,199667.0,86.0
208055,5611787644735474299,2018-10,1215737.0,119.0
267440,3118152790263512426,2018-10,105628.0,87.0
405124,5465001651966355821,2018-10,65318.0,99.0
90214,8382418367191468432,2018-10,201641.0,112.0
194364,6927178425683104769,2018-10,51932.0,123.0
301797,3472934456083131714,2018-10,37683.0,93.0
110484,683445437387317282,2018-10,96407.0,103.0
515216,382095722273502031,2018-10,391468.0,79.0
441162,4347826483121154490,2018-10,385234.0,92.0
177229,6368582840625614207,2018-10,120574.0,99.0
64788,5761480994209806499,2018-10,295951.0,125.0
287878,4556737702757145073,2018-10,242774.0,103.0
324162,4530631557358349711,2018-10,138126.0,96.0
298727,8646472172649019955,2018-10,137602.0,118.0
531337,6617479989097680138,2018-10,126322.0,135.0
26843,9206030810342980458,2018-10,522110.0,86.0
217254,499242942549937267,2018-10,195950.0,122.0
220123,7325545718770538459,2018-10,143222.0,122.0
534162,7920896580423665241,2018-10,344617.0,108.0
427405,7395696797140470088,2018-10,576435.0,130.0
116382,6030285068945261052,2018-10,214445.0,90.0
23914,5225029212547588718,2018-10,161928.0,107.0
552999,4679462479444735708,2018-10,417775.0,129.0
231423,2763141362035716801,2018-10,188677.0,85.0
542268,2619109825960703851,2018-10,97883.0,106.0
435631,5122095358293179297,2018-10,45412.0,113.0
